tool,db_layout,workload,strategy,N_or_K,n_reps,prefetch_time_us_med,prefetch_time_us_min,prefetch_time_us_max,n_prefetch,n_syscalls
prefetch_layers,ta,ALL,layers_15,15,3,2.73,2.58,3.00,15,15
prefetch_layers,ta,ALL,layers_16,16,3,3.09,2.85,3.21,16,16
prefetch_layers,ta,ALL,layers_17,17,3,2.94,2.83,3.28,17,17
prefetch_layers,ta,ALL,layers_18,18,3,3.23,2.75,3.60,18,18
prefetch_layers,ta,ALL,layers_19,19,3,3.32,3.04,3.58,19,19
prefetch_layers,ta,ALL,layers_2,2,3,1.35,0.74,1.37,2,2
prefetch_layers,ta,ALL,layers_20,20,3,3.18,3.17,3.24,20,20
prefetch_layers,ta,ALL,layers_21,21,3,3.31,3.15,3.45,21,21
prefetch_layers,ta,ALL,layers_22,22,3,3.53,3.42,3.61,22,22
prefetch_layers,ta,ALL,layers_23,23,3,4.13,3.45,4.44,23,23
prefetch_layers,ta,ALL,layers_24,24,3,3.93,3.76,4.24,24,24
prefetch_layers,ta,ALL,layers_25,25,3,4.38,4.11,4.43,25,25
prefetch_layers,ta,ALL,layers_26,26,3,4.41,4.11,4.71,26,26
prefetch_layers,ta,ALL,layers_27,27,3,4.75,4.61,4.77,27,27
prefetch_layers,ta,ALL,layers_28,28,3,5.77,4.74,8.77,28,28
prefetch_layers,ta,ALL,layers_29,29,3,4.67,4.52,4.76,29,29
prefetch_layers,ta,ALL,layers_3,3,3,1.20,0.72,1.22,3,3
prefetch_layers,ta,ALL,layers_30,30,3,5.08,4.76,5.33,30,30
prefetch_layers,ta,ALL,layers_31,31,3,4.78,4.59,4.93,31,31
prefetch_layers,ta,ALL,layers_32,32,3,4.92,4.69,5.09,32,32
prefetch_layers,ta,ALL,layers_33,33,3,5.49,5.20,5.81,33,33
prefetch_layers,ta,ALL,layers_34,34,3,5.20,4.96,5.35,34,34
prefetch_layers,ta,ALL,layers_35,35,3,5.82,5.68,5.83,35,35
prefetch_layers,ta,ALL,layers_36,36,3,5.67,5.12,5.79,36,36
prefetch_layers,ta,ALL,layers_37,37,3,5.90,5.84,6.21,37,37
prefetch_layers,ta,ALL,layers_38,38,3,6.05,5.77,6.35,38,38
prefetch_layers,ta,ALL,layers_39,39,3,5.95,5.69,6.09,39,39
prefetch_layers,ta,ALL,layers_4,4,3,1.07,1.03,1.51,4,4
prefetch_layers,ta,ALL,layers_40,40,3,6.23,6.12,6.46,40,40
prefetch_layers,ta,ALL,layers_41,41,3,6.51,6.02,6.78,41,41
prefetch_layers,ta,ALL,layers_42,42,3,6.79,6.52,7.36,42,42
prefetch_layers,ta,ALL,layers_43,43,3,6.65,6.46,6.82,43,43
prefetch_layers,ta,ALL,layers_44,44,3,7.15,6.99,7.50,44,44
prefetch_layers,ta,ALL,layers_45,45,3,7.21,7.11,7.21,45,45
prefetch_layers,ta,ALL,layers_46,46,3,7.35,7.13,7.53,46,46
prefetch_layers,ta,ALL,layers_47,47,3,6.84,6.74,6.99,47,47
prefetch_layers,ta,ALL,layers_48,48,3,7.65,7.47,7.75,48,48
prefetch_layers,ta,ALL,layers_49,49,3,7.86,7.13,7.92,49,49
prefetch_layers,ta,ALL,layers_5,5,3,1.09,0.98,1.60,5,5
prefetch_layers,ta,ALL,layers_50,50,3,7.70,7.57,8.02,50,50
prefetch_layers,ta,ALL,layers_51,51,3,7.79,7.61,7.96,51,51
prefetch_layers,ta,ALL,layers_52,52,3,8.11,7.84,8.50,52,52
prefetch_layers,ta,ALL,layers_53,53,3,8.22,8.01,8.66,53,53
prefetch_layers,ta,ALL,layers_54,54,3,8.44,7.75,8.70,54,54
prefetch_layers,ta,ALL,layers_55,55,3,8.41,7.91,8.73,55,55
prefetch_layers,ta,ALL,layers_56,56,3,8.62,8.50,8.97,56,56
prefetch_layers,ta,ALL,layers_57,57,3,8.76,8.60,9.07,57,57
prefetch_layers,ta,ALL,layers_58,58,3,8.85,8.85,9.02,58,58
prefetch_layers,ta,ALL,layers_59,59,3,8.99,8.97,9.30,59,59
prefetch_layers,ta,ALL,layers_6,6,3,1.35,1.15,1.57,6,6
prefetch_layers,ta,ALL,layers_60,60,3,9.23,9.13,9.64,60,60
prefetch_layers,ta,ALL,layers_61,61,3,9.25,8.94,9.33,61,61
prefetch_layers,ta,ALL,layers_62,62,3,9.40,9.21,9.86,62,62
prefetch_layers,ta,ALL,layers_63,63,3,9.28,8.95,9.82,63,63
prefetch_layers,ta,ALL,layers_64,64,3,9.82,9.80,10.13,64,64
prefetch_layers,ta,ALL,layers_65,65,3,9.49,9.44,9.64,65,65
prefetch_layers,ta,ALL,layers_66,66,3,9.93,9.68,10.55,66,66
prefetch_layers,ta,ALL,layers_67,67,3,9.92,9.51,10.27,67,67
prefetch_layers,ta,ALL,layers_68,68,3,9.99,9.75,10.08,68,68
prefetch_layers,ta,ALL,layers_69,69,3,9.89,9.85,12.98,69,69
prefetch_layers,ta,ALL,layers_7,7,3,1.73,1.29,2.03,7,7
prefetch_layers,ta,ALL,layers_70,70,3,10.64,10.61,10.78,70,70
prefetch_layers,ta,ALL,layers_71,71,3,10.72,10.64,11.11,71,71
prefetch_layers,ta,ALL,layers_72,72,3,10.99,10.84,11.12,72,72
prefetch_layers,ta,ALL,layers_73,73,3,10.83,10.81,11.06,73,73
prefetch_layers,ta,ALL,layers_74,74,3,11.12,10.49,11.49,74,74
prefetch_layers,ta,ALL,layers_75,75,3,11.20,10.65,11.67,75,75
prefetch_layers,ta,ALL,layers_76,76,3,11.72,10.71,11.94,76,76
prefetch_layers,ta,ALL,layers_77,77,3,11.59,11.47,11.89,77,77
prefetch_layers,ta,ALL,layers_78,78,3,11.95,11.65,12.15,78,78
prefetch_layers,ta,ALL,layers_79,79,3,11.59,11.52,11.85,79,79
prefetch_layers,ta,ALL,layers_8,8,3,2.04,1.94,2.04,8,8
prefetch_layers,ta,ALL,layers_80,80,3,12.33,11.69,12.53,80,80
prefetch_layers,ta,ALL,layers_81,81,3,12.14,11.66,12.25,81,81
prefetch_layers,ta,ALL,layers_82,82,3,12.74,11.70,12.78,82,82
prefetch_layers,ta,ALL,layers_83,83,3,12.45,11.65,12.56,83,83
prefetch_layers,ta,ALL,layers_84,84,3,12.73,12.65,12.89,84,84
prefetch_layers,ta,ALL,layers_85,85,3,12.63,12.26,12.78,85,85
prefetch_layers,ta,ALL,layers_86,86,3,12.66,12.30,12.81,86,86
prefetch_layers,ta,ALL,layers_87,87,3,13.03,13.03,13.46,87,87
prefetch_layers,ta,ALL,layers_88,88,3,12.98,12.94,13.52,88,88
prefetch_layers,ta,ALL,layers_89,89,3,13.01,12.86,13.73,89,89
prefetch_layers,ta,ALL,layers_9,9,3,2.17,1.84,2.21,9,9
prefetch_layers,ta,ALL,layers_90,90,3,13.19,12.60,13.48,90,90
prefetch_layers,ta,ALL,layers_91,91,3,12.85,12.78,13.39,91,91
prefetch_layers,ta,ALL,layers_92,92,3,13.94,12.99,14.32,92,92
prefetch_layers,vacuum,ALL,layers_0,0,3,0.00,0.00,0.00,0,0
prefetch_layers,vacuum,ALL,layers_1,1,3,1.26,0.40,1.34,1,1
prefetch_layers,vacuum,ALL,layers_10,10,3,2.42,2.21,2.56,10,10
prefetch_layers,vacuum,ALL,layers_11,11,3,2.42,2.38,2.85,11,11
prefetch_layers,vacuum,ALL,layers_12,12,3,2.52,2.48,3.24,12,12
prefetch_layers,vacuum,ALL,layers_13,13,3,2.87,2.75,3.06,13,13
