tool,db_layout,workload,strategy,N_or_K,rep,prefetch_time_us,n_prefetch,n_syscalls
prefetch_layers,orig,ALL,layers_73,73,2,12.13,73,73
prefetch_layers,orig,ALL,layers_73,73,3,12.18,73,73
prefetch_layers,orig,ALL,layers_74,74,1,12.47,74,74
prefetch_layers,orig,ALL,layers_74,74,2,12.62,74,74
prefetch_layers,orig,ALL,layers_74,74,3,11.68,74,74
prefetch_layers,orig,ALL,layers_75,75,1,13.16,75,75
prefetch_layers,orig,ALL,layers_75,75,2,12.55,75,75
prefetch_layers,orig,ALL,layers_75,75,3,12.88,75,75
prefetch_layers,orig,ALL,layers_76,76,1,12.37,76,76
prefetch_layers,orig,ALL,layers_76,76,2,12.12,76,76
prefetch_layers,orig,ALL,layers_76,76,3,12.39,76,76
prefetch_layers,orig,ALL,layers_77,77,1,12.5,77,77
prefetch_layers,orig,ALL,layers_77,77,2,13.38,77,77
prefetch_layers,orig,ALL,layers_77,77,3,11.97,77,77
prefetch_layers,orig,ALL,layers_78,78,1,13.61,78,78
prefetch_layers,orig,ALL,layers_78,78,2,13.28,78,78
prefetch_layers,orig,ALL,layers_78,78,3,12.79,78,78
prefetch_layers,orig,ALL,layers_79,79,1,12.8,79,79
prefetch_layers,orig,ALL,layers_79,79,2,12.4,79,79
prefetch_layers,orig,ALL,layers_79,79,3,13.02,79,79
prefetch_layers,orig,ALL,layers_80,80,1,12.93,80,80
prefetch_layers,orig,ALL,layers_80,80,2,13.99,80,80
prefetch_layers,orig,ALL,layers_80,80,3,16.68,80,80
prefetch_layers,orig,ALL,layers_81,81,1,13.21,81,81
prefetch_layers,orig,ALL,layers_81,81,2,13.13,81,81
prefetch_layers,orig,ALL,layers_81,81,3,14.44,81,81
prefetch_layers,orig,ALL,layers_82,82,1,17.02,82,82
prefetch_layers,orig,ALL,layers_82,82,2,14.03,82,82
prefetch_layers,orig,ALL,layers_82,82,3,13.12,82,82
prefetch_layers,orig,ALL,layers_83,83,1,14.23,83,83
prefetch_layers,orig,ALL,layers_83,83,2,13.29,83,83
prefetch_layers,orig,ALL,layers_83,83,3,13.66,83,83
prefetch_layers,orig,ALL,layers_84,84,1,13.94,84,84
prefetch_layers,orig,ALL,layers_84,84,2,14.63,84,84
prefetch_layers,orig,ALL,layers_84,84,3,13.46,84,84
prefetch_layers,orig,ALL,layers_85,85,1,14.0,85,85
prefetch_layers,orig,ALL,layers_85,85,2,13.99,85,85
prefetch_layers,orig,ALL,layers_85,85,3,14.41,85,85
prefetch_layers,orig,ALL,layers_86,86,1,13.73,86,86
prefetch_layers,orig,ALL,layers_86,86,2,14.31,86,86
prefetch_layers,orig,ALL,layers_86,86,3,13.07,86,86
prefetch_layers,orig,ALL,layers_87,87,1,14.94,87,87
prefetch_layers,orig,ALL,layers_87,87,2,13.55,87,87
prefetch_layers,orig,ALL,layers_87,87,3,14.23,87,87
prefetch_layers,orig,ALL,layers_88,88,1,14.27,88,88
prefetch_layers,orig,ALL,layers_88,88,2,14.47,88,88
prefetch_layers,orig,ALL,layers_88,88,3,14.33,88,88
prefetch_layers,orig,ALL,layers_89,89,1,15.51,89,89
prefetch_layers,orig,ALL,layers_89,89,2,14.26,89,89
prefetch_layers,orig,ALL,layers_89,89,3,14.02,89,89
prefetch_layers,orig,ALL,layers_90,90,1,14.79,90,90
prefetch_layers,orig,ALL,layers_90,90,2,15.25,90,90
