workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
A,ta,2e_K500,async,128,2,0,0.00,29.50,239.05,1044.77,1283.82,2.14,178.00,397.00,1.56,54715748
A,ta,2f_slru,pread,128,2,0,0.00,100.00,112.28,18110.72,18223.00,1.61,0.00,279.00,1.56,54716848
A,ta,2f_slru,async,128,2,0,0.00,100.00,107.01,7434.84,7541.85,1.62,0.00,279.00,1.56,54714068
B,orig,layers_5,pread,128,2,0,0.00,100.00,390.53,667.07,1057.60,2.35,181.00,273.00,1.56,54716740
B,orig,layers_5,async,128,2,0,0.00,100.00,381.56,293.65,675.21,2.27,182.00,272.00,1.56,54717724
B,orig,layers_92,pread,128,2,0,0.00,100.00,389.91,14533.68,14923.59,2.26,180.00,281.00,1.59,54717712
B,orig,layers_92,async,128,2,0,0.00,100.00,389.61,439.09,828.70,2.29,181.00,278.00,1.59,54717876
B,orig,2d,pread,128,2,0,0.00,100.00,385.46,1937.35,2322.81,2.27,180.00,280.00,1.59,54717780
B,orig,2d,async,128,2,0,0.00,100.00,378.76,315.15,693.91,2.33,181.00,278.00,1.59,54718268
B,orig,2e_K10,pread,128,2,0,0.00,100.00,377.04,2851.94,3228.98,2.27,180.00,283.00,1.59,54718420
B,orig,2e_K10,async,128,2,0,0.00,100.00,375.94,332.52,708.46,2.28,181.00,280.00,1.59,54719464
B,orig,2e_K500,pread,128,2,0,0.00,100.00,446.67,35226.78,35673.45,2.21,168.00,387.00,1.59,54720372
B,orig,2e_K500,async,128,2,0,0.00,100.00,434.83,1125.96,1560.79,2.25,186.00,328.00,1.59,54714672
B,orig,2f_slru,pread,128,2,0,0.00,100.00,100.52,18406.53,18507.05,1.69,0.00,278.00,1.59,54711052
B,orig,2f_slru,async,128,2,0,0.00,100.00,106.49,7467.61,7574.10,1.70,0.00,278.00,1.59,54709516
B,vacuum,layers_5,pread,128,2,0,0.00,100.00,511.11,777.98,1289.09,2.15,142.00,238.00,1.59,54975020
B,vacuum,layers_5,async,128,2,0,0.00,100.00,464.05,269.29,733.34,2.15,143.00,235.00,1.59,54698892
B,vacuum,layers_92,pread,128,2,0,0.00,100.00,521.89,7752.26,8274.15,2.14,144.00,238.00,1.59,54697804
B,vacuum,layers_92,async,128,2,0,0.00,100.00,512.64,387.98,900.62,2.15,145.00,235.00,1.59,54697184
B,vacuum,2d,pread,128,2,0,0.00,100.00,522.66,1386.47,1909.13,2.15,144.00,238.00,1.59,54697672
B,vacuum,2d,async,128,2,0,0.00,100.00,510.07,275.20,785.27,2.16,145.00,235.00,1.59,54698636
B,vacuum,2e_K10,pread,128,2,0,0.00,100.00,519.31,2194.14,2713.45,2.15,144.00,241.00,1.63,54698796
B,vacuum,2e_K10,async,128,2,0,0.00,100.00,517.14,286.79,803.93,2.21,145.00,238.00,1.63,54697868
B,vacuum,2e_K500,pread,128,2,0,0.00,100.00,477.70,18768.78,19246.48,1.74,10.00,240.00,1.63,54697684
B,vacuum,2e_K500,async,128,2,0,0.00,16.40,415.61,951.54,1367.15,2.11,151.00,282.00,1.63,54698156
B,vacuum,2f_slru,pread,128,2,0,0.00,100.00,117.42,14229.72,14347.14,1.70,0.00,214.00,1.63,54698948
B,vacuum,2f_slru,async,128,2,0,0.00,100.00,105.76,5725.23,5830.99,1.72,0.00,214.00,1.63,54699728
